SIO2(WT%),MGO(WT%)
69.36,0.67
67.62,0.84
69.54,0.38
50.1,0.5
70.96,0.54
68.04,0.5
69.8,0.67
61.66,1.43
67.54,1.38
67.56,1.26
72.66,0.5
73.72,0.42
72.04,0.46
73.34,0.46
67.94,1.34
66.58,1.55
64.96,1.51
66.12,1.26
70.68,0.63
69.74,0.8
70.92,0.8
72.54,0.45
72.46,0.53
71.72,0.62
66.4,1.11
68.36,0.89
78.18,0.89
70.84,0.62
70,0.58
70.62,1.07
64.46,1.23
64.16,1.78
72.41,0.28
69.42,0.54
71.88,0.75
71.92,0.48
71.82,0.56
66.26,0.76
68.4,0.94
70.24,0.79
68.92,1.12
70.4,0.91
68.78,0.84
71.04,0.37
68.98,0.04
74.04,0.57
71.3,0.6
71.98,0.61
70.54,0.7
70.74,0.71
72.6,1.13
70.9,0.4
72.28,0.5
72.07,0.54
74.7,0.41
72.98,0.41
72.88,0.62
72.46,0.75
73.1,0.66
72.22,0.66
75.64,0.46
75.86,0.46
76.04,
73.4,0.31
72.96,0.62
73.34,0.54
75.7,0.39
72.7,0.7
71.6,0.81
67.14,0.46
67.32,1.32
66.24,1.43
71.48,0.74
71.28,0.85
65.34,1.04
73.44,0.31
75.18,0.31
72.28,0.7
72.84,0.42
69.24,1.08
75.44,0.39
74.7,0.39
73.92,0.63
70.78,
71.76,0.12
69.94,0.51
71.44,0.57
71.06,0.55
71.06,0.4
72.2,0.32
70,0.95
71.5,0.74
68.6,1.16
65.9,1.34
66.9,0.74
73.1,0.6
74,0.33
73.1,0.63
72.6,0.9
73.3,0.64
,
70.96,1.24
75.71,0.11
75.88,0.07
74.63,0.25
75.45,0.16
75.78,0.12
75.64,0.09
76.13,0.05
73.012,0.314
73.297,0.333
72.917,0.417
72.35,0.418
74.18,0.34
73.04,0.349
72.56,0.42
73.84,0.387
73.07,0.348
74.087,0.36
73.56,0.41
73.8,0.351
72.9,0.41
72.91,0.359
73.35,0.385
72.77,0.374
74,0.378
73.803,0.349
73.784,0.326
72.515,0.438
71.998,0.441
72.182,0.461
71.837,0.435
71.229,0.478
71.194,0.496
71.609,0.454
71.198,0.416
73.506,0.381
70.327,0.501
70.833,0.55
71.675,0.426
70.107,0.543
72.01,0.428
72.156,0.44
73.491,0.343
